Load_T,Power_T
298.0205956,90.98809302
288.407028,100.2317018
283.6002442,74.18027199
273.9866766,85.30003817
273.9866766,70.27415101
259.5663252,81.57266483
254.7595414,55.96879698
254.7595414,115.5721294
254.7595414,81.20962698
254.7595414,70.49308223
249.9527576,99.91161878
249.9527576,83.85758626
249.9527576,72.05469924
249.9527576,70.49308223
249.9527576,41.44589736
245.1459738,106.6250477
245.1459738,93.38663698
245.1459738,90.12761018
245.1459738,89.2283294
245.1459738,68.74163245
245.1459738,93.05269759
245.1459738,83.55135968
245.1459738,79.51775976
245.1459738,66.7934217
245.1459738,65.82070197
245.1459738,67.60540712
240.33919,96.32003823
240.33919,93.15662063
240.33919,92.59543617
240.33919,89.88927999
240.33919,89.56781136
240.33919,83.30887256
240.33919,71.58219578
240.33919,69.98593775
240.33919,69.53699018
240.33919,69.36655638
240.33919,68.57396993
240.33919,68.07098238
240.33919,67.77029836
240.33919,66.94584217
240.33919,65.74033481
240.33919,54.97252135
240.33919,53.70743144
240.33919,79.22816086
240.33919,68.07098238
235.5324062,117.2529115
235.5324062,90.72620694
235.5324062,90.46293522
235.5324062,89.74517336
235.5324062,84.10007337
235.5324062,71.40760505
235.5324062,71.30506765
235.5324062,71.23301433
235.5324062,71.18728819
235.5324062,71.07089438
235.5324062,70.96142877
235.5324062,70.32403407
235.5324062,69.93051213
235.5324062,69.87785778
235.5324062,67.60540712
235.5324062,66.54677767
235.5324062,58.50729064
235.5324062,55.10692849
230.7256224,91.54373492
230.7256224,85.15731718
230.7256224,82.08673751
230.7256224,77.0069789
230.7256224,75.33035372
230.7256224,72.5410591
230.7256224,72.39972376
230.7256224,71.40760505
230.7256224,70.04829158
230.7256224,69.80164755
230.7256224,69.70742398
230.7256224,69.53699018
230.7256224,69.07695749
230.7256224,68.9716488
230.7256224,68.17351979
230.7256224,67.84096603
230.7256224,67.27562465
230.7256224,66.71028326
230.7256224,56.62559064
225.9188386,104.2902432
225.9188386,99.88252033
225.9188386,99.83402291
225.9188386,89.68143389
225.9188386,88.38447425
225.9188386,83.96982315
225.9188386,83.67052477
225.9188386,81.61700533
225.9188386,81.24288236
225.9188386,80.10388575
225.9188386,73.85464643
225.9188386,72.45514938
225.9188386,71.23301433
225.9188386,69.14069696
225.9188386,69.13931132
225.9188386,68.29545616
225.9188386,67.90331986
225.9188386,66.24886493
225.9188386,65.17222215
225.9188386,58.23016251
225.9188386,53.70743144
221.1120548,87.94661181
221.1120548,74.8079672
221.1120548,73.6966834
221.1120548,71.83161109
221.1120548,69.97485263
221.1120548,69.62844246
221.1120548,69.19612258
221.1120548,68.63355248
221.1120548,67.67468915
221.1120548,66.78095094
221.1120548,55.40345559
221.1120548,54.77437474
221.1120548,88.22789686
216.305271,77.45176955
216.305271,73.10778613
216.305271,72.03530027
216.305271,98.97492571
216.305271,95.82536452
216.305271,91.9247861
216.305271,86.74249008
216.305271,82.03408317
216.305271,80.29926108
216.305271,76.88642817
216.305271,75.00611381
216.305271,71.7567865
216.305271,70.67460115
216.305271,70.36560329
216.305271,69.87785778
216.305271,57.52348578
216.305271,56.81958033
211.4984872,95.91265988
211.4984872,91.2430509
211.4984872,89.22555812
211.4984872,84.61414605
211.4984872,79.83784274
211.4984872,76.1340253
211.4984872,72.5410591
211.4984872,72.39279555
211.4984872,70.38084534
211.4984872,67.03729446
211.4984872,55.69444013
211.4984872,109.4808531
211.4984872,81.24011108
211.4984872,81.24011108
211.4984872,81.06552036
211.4984872,76.77419128
211.4984872,75.00611381
211.4984872,59.15161354
211.4984872,55.10692849
211.4984872,54.97252135
206.6917034,79.34178339
206.6917034,78.96766042
206.6917034,76.50814827
206.6917034,75.57284084
206.6917034,75.38439371
206.6917034,72.03530027
206.6917034,93.46838978
206.6917034,108.5552451
206.6917034,102.8200785
206.6917034,99.76474088
206.6917034,95.39304464
206.6917034,93.4794749
206.6917034,91.27076372
206.6917034,88.38447425
206.6917034,85.65476218
206.6917034,69.70742398
206.6917034,66.30706184
206.6917034,56.38033225
206.6917034,55.81914779
201.8849196,97.98973521
201.8849196,95.63137483
201.8849196,90.39365319
201.8849196,87.70273905
201.8849196,86.01641439
201.8849196,85.44968736
201.8849196,80.01243347
201.8849196,73.6966834
201.8849196,54.93788033
201.8849196,53.83491038
201.8849196,37.02293242
201.8849196,80.63320048
201.8849196,72.43575041
201.8849196,68.90929497
201.8849196,56.21821229
201.8849196,56.21821229
201.8849196,54.56929992
197.0781358,95.17272777
197.0781358,93.64575178
197.0781358,89.67450569
197.0781358,89.60245238
197.0781358,85.51896939
197.0781358,73.26159224
197.0781358,70.84087803
197.0781358,34.04519067
197.0781358,90.45323573
197.0781358,76.69520976
197.0781358,73.36967221
197.0781358,69.4150538
197.0781358,68.74163245
197.0781358,58.07912768
197.0781358,56.6546891
197.0781358,54.83811421
197.0781358,54.80485883
197.0781358,54.60532658
192.271352,97.36065435
192.271352,74.12068944
192.271352,55.94662673
192.271352,99.41971635
192.271352,95.41382925
192.271352,90.95622329
192.271352,80.05400269
192.271352,73.68836956
192.271352,73.63571521
192.271352,70.96142877
192.271352,68.74163245
192.271352,67.65390454
192.271352,54.57345684
192.271352,66.78095094
192.271352,56.92904594
192.271352,55.81083394
187.4645682,81.60869149
187.4645682,74.89941948
187.4645682,73.56920446
187.4645682,72.24868893
187.4645682,71.79835572
187.4645682,70.72864114
187.4645682,70.49446787
187.4645682,56.24315382
187.4645682,56.01452312
187.4645682,55.51014992
187.4645682,54.83811421
187.4645682,54.70370707
187.4645682,54.67183733
187.4645682,53.8390673
187.4645682,79.32654135
187.4645682,78.96766042
187.4645682,75.09895173
187.4645682,74.2079848
187.4645682,71.72075984
187.4645682,64.93666324
187.4645682,24.18497184
182.6577844,93.29934162
182.6577844,75.68507773
182.6577844,74.75531285
182.6577844,74.68464518
182.6577844,73.7479521
182.6577844,70.50416735
182.6577844,70.50416735
182.6577844,70.07600439
182.6577844,69.40396868
182.6577844,65.65858201
182.6577844,57.51932886
182.6577844,57.09947974
182.6577844,83.9919934
182.6577844,70.03027825
182.6577844,69.24323436
182.6577844,67.44051588
182.6577844,58.21907738
182.6577844,57.94472054
182.6577844,56.39973122
182.6577844,55.94662673
182.6577844,53.64784889
177.8510006,91.40378522
177.8510006,75.61302441
177.8510006,74.62506263
177.8510006,73.05651742
177.8510006,70.42241455
177.8510006,70.27692229
177.8510006,67.50841228
177.8510006,67.11073341
177.8510006,60.06197944
177.8510006,58.23016251
177.8510006,55.67504116
177.8510006,54.80485883
177.8510006,54.57761377
177.8510006,53.97070316
173.0442168,97.33017026
173.0442168,92.4499439
173.0442168,92.21438499
173.0442168,87.25656276
173.0442168,87.25656276
173.0442168,84.36334509
173.0442168,79.16719267
173.0442168,76.00238944
173.0442168,73.24912147
173.0442168,73.03019025
173.0442168,71.36049327
173.0442168,66.71028326
173.0442168,65.90106913
173.0442168,65.90106913
173.0442168,63.72284203
173.0442168,61.80511538
173.0442168,57.80615647
173.0442168,57.74518828
173.0442168,57.59553909
173.0442168,57.53457091
173.0442168,57.23942945
173.0442168,56.51751067
173.0442168,56.1059754
173.0442168,54.80485883
173.0442168,54.72449168
173.0442168,54.67183733
173.0442168,54.54990095
173.0442168,54.22011848
173.0442168,52.83447783
168.237433,84.50745172
168.237433,79.95146528
168.237433,60.21994248
168.237433,55.18036745
168.237433,53.97901701
168.237433,53.82105397
168.237433,53.45247356
168.237433,52.39384411
168.237433,34.69921306
163.4306492,91.9621984
163.4306492,82.39434974
163.4306492,81.06552036
163.4306492,78.38707699
163.4306492,72.76137596
163.4306492,72.03530027
163.4306492,70.96142877
163.4306492,69.80164755
163.4306492,69.80164755
163.4306492,67.84927987
163.4306492,66.67425661
163.4306492,58.64724034
163.4306492,57.79784263
163.4306492,56.92904594
163.4306492,54.98083519
163.4306492,54.31018512
158.6238654,79.38058133
158.6238654,73.88235925
158.6238654,62.84988842
158.6238654,56.94983055
158.6238654,54.54990095
153.8170816,72.3636971
153.8170816,72.1863351
153.8170816,69.80164755
153.8170816,55.51846377
153.8170816,89.37382167
153.8170816,89.37382167
153.8170816,83.63449811
153.8170816,66.24886493
153.8170816,63.10207502
149.0102978,93.76075996
149.0102978,93.76075996
149.0102978,76.22132066
139.3967302,62.27761884
134.5899464,81.79436734
129.7831626,89.98627484
115.3628112,93.70117741
110.5560274,82.41097742
